No,Nama Satker,Nomor Rekening,Nama Rekening,Tanggal Transaksi Terakhir,Saldo Akhir,Saldo Telah Menjadi Hak Negara,Saldo Rekening Antara untuk menampung pembayaran dari negara,Saldo Belum/tidak menjadi hak negara
1118,BALAI HARTA PENINGGALAN SURABAYA,1410016002552,L 135 BALAI HARTA PENINGGALAN SURABAYA UTK PDT KEPAILITAN,30/04/2024,0.00, , , 2.669.727.1
1119,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,1028026869,L 135 KEMENAG SBY UTK BSM/PIP DP,30/04/2024,2.669.727.07, , , 2.669.727.1
1120,BALAI HARTA PENINGGALAN SURABAYA,4000505051,L 135 PDT BHP SURABAYA UNTUK UPK,30/04/2024,0.00, , , 2.669.727.1
1121,PENGADILAN AGAMA BAWEAN,741501000006307,L 135 PDT PA BWN UTK BIAYA PERKARA,30/04/2024,0.00, , , 2.669.727.1
1122,PENGADILAN AGAMA GRESIK,7136107668,L 135 PDT PA GRESIK UTK B PERKARA,30/04/2024,0.00, , , 2.669.727.1
1123,PENGADILAN AGAMA SURABAYA,5801303333333,L 135 PDT PA SURAB,30/04/2024,0.00, , , 2.669.727.1
1124,PENGADILAN NEGERI GRESIK,6101300003748,L 135 PN Gresik Kelas I A,30/04/2024,0.00, , , 2.669.727.1
1125,PENGADILAN NEGERI SURABAYA,39301300002044,L 135 PN TIPIKOR SURABAYA KLAS IA KHUSUS UTK PDT BIAYA PERKARA,30/04/2024,0.00, , , 2.669.727.1
1126,POLITEKNIK PENERBANGAN SURABAYA,3697272720,L 135 POLTEKBANG UNTUK DK BLU,30/04/2024,0.00, , , 2.669.727.1
1127,POLITEKNIK PENERBANGAN SURABAYA,488818656,L 135 POLTEKBANG UTK DEPOSITO2 PK,30/04/2024,0.00, , , 2.669.727.1
1128,POLITEKNIK PENERBANGAN SURABAYA,7000000105800155                                                                                                                                                                                                                                ,L 135 POLTEKBANG UTK DEPOSITO3 PK,30/04/2024,0.00, , , 2.669.727.1
1129,PENGADILAN TINGGI SURABAYA,009601000038301                                                                                                                                                                                                                                 ,L 135 PT SURABAYA UTK PDT,30/04/2024,0.00, , , 2.669.727.1
1130,PENGADILAN TINGGI AGAMA SURABAYA,058401000437300                                                                                                                                                                                                                                 ,L 135 PTA SURABAYA UTK PDT BIAYA PERKARA,30/04/2024,0.00, , , 2.669.727.1
1131,PENGADILAN TINGGI TATA USAHA NEGARA SURABAYA,00000000772774770                                                                                                                                                                                                                               ,L 135 PTTUN SURABYA UTK PDT BIAYA PERKARA,30/04/2024,0.00, , , 2.669.727.1
1132,Dinas Pertanian dan Ketahanan Pangan Provinsi Jawa Timur,23001003349307                                                                                                                                                                                                                                  ,BPN 088 POLRES METRO JAKPUS,31/05/2024,0.00, 253.240.809.608.9, , 
1133,Asrama Haji Surabaya,1420014638422                                                                                                                                                                                                                                   ,BPN 135 ASRAMA HAJI SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1134,BALAI KARANTINA IKAN. PENGENDALIAN MUTU DAN KEAMANAN HASIL PERIKANAN KELAS I SURABAYA II,032801001198309                                                                                                                                                                                                                                 ,BPN 135 BKIPMKHP KELAS I SURABAYA II,31/05/2024,0.00, 253.240.809.608.9, , 
1135,BALAI PENGAMANAN ALAT DAN FASILITAS KESEHATAN SURABAYA,1420004582184                                                                                                                                                                                                                                   ,BPN 135 BPFK SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1136,DITINTELKAM POLDA JATIM,009601003646307                                                                                                                                                                                                                                 ,BPN 135 DITINTELKAM POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1137,DITLANTAS POLDA JATIM,00000000960100161                                                                                                                                                                                                                               ,BPN 135 DITLANTAS POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1138,DITLANTAS POLDA JATIM,009601001616306                                                                                                                                                                                                                                 ,BPN 135 DITLANTAS POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1139,DITPAMOBVIT POLDA JAWA TIMUR,00000000588773594                                                                                                                                                                                                                               ,BPN 135 DITPAMOBVIT POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1140,LANUD SURABAYA,008601002446303                                                                                                                                                                                                                                 ,BPN 135 LANUD SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1141,POLRES GRESIK,002601000586303,BPN 135 POLRES GRESIK,31/05/2024,0.00, 253.240.809.608.9, , 
1142,POLRES PELABUHAN TANJUNG PERAK,032801002678302                                                                                                                                                                                                                                 ,BPN 135 POLRES PELABUHAN TANJUNG PERAK,31/05/2024,0.00, 253.240.809.608.9, , 
1143,POLRESTABES SURABAYA,09601004717305,BPN 135 POLRESTABES SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1144,POLRESTABES SURABAYA,021101000651305,BPN 135 POLRESTABES SURABAYA,31/05/2024,14.011.256.849.00, 253.240.809.608.9, , 
1145,POLRES GRESIK,9898986444590000,BPN 136 POLRES GRESIK,31/05/2024,7.000.000.000.00, 253.240.809.608.9, , 
1146,BALAI BESAR LABORATORIUM KESEHATAN MASYARAKAT SURABAYA,8100126907831000                                                                                                                                                                                                    ,BPG 135 BBLKM SURABAYA,31/05/2024,443.548.00, 253.240.809.608.9, , 
1147,Asrama Haji Surabaya,8100123525441000                                                                                                                                                                                                                                ,BPG 135 ASRAMA HAJI SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1148,BALAI BESAR LABORATORIUM KESEHATAN SURABAYA,8100124156021000                                                                                                                                                                                                                                ,BPG 135 BALAI BESAR LABKES SBY,31/05/2024,0.00, 253.240.809.608.9, , 
1149,BALAI BESAR PENGAWAS OBAT DAN MAKANAN SURABAYA,650234327841000                                                                                                                                                                                                                                 ,BPG 135 BALAI BPOM SBY,31/05/2024,10.200.000.00, 253.240.809.608.9, , 
1150,BALAI HARTA PENINGGALAN SURABAYA,9890680992991000,BPG 135 BALAI HARTA PENINGGALAN SBY,31/05/2024,7.460.069.00, 253.240.809.608.9, , 
1151,BALAI TEKNIK PERKERETAAPIAN WILAYAH JAWA BAGIAN TIMUR,9891504673371000                                                                                                                                                                                                                                ,BPG 135 BALAI TEKNIK PKERETAAPIAN JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1152,BALAI MONITOR SPEKTRUM FREKUENSI RADIO  KELAS II DI SURABAYA,8100126134131000                                                                                                                                                                                                                                ,BPG 135 BALMON SPEKTRUM FREK RADIO SBY,31/05/2024,204.545.558.00, 253.240.809.608.9, , 
1153,Bappeda Provinsi Jawa Timur,80005000500601000                                                                                                                                                                                                                               ,BPG 135 BAPPEDA JATIM 050060,31/05/2024,0.00, 253.240.809.608.9, , 
1154,BAPPEDA PROVINSI JAWA TIMUR,9890244841541000,BPG 135 BAPPEDA PROV JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1155,BARISTAND INDUSTRI SURABAYA,"9,89E+20",BPG 135 BARISTAND INDUSTRI SBY,31/05/2024,85.616.430.00, 253.240.809.608.9, , 
1156,BALAI BESAR KEKARANTINAAN KESEHATAN SURABAYA,9890384161201000,BPG 135 BBKK SURABAYA,31/05/2024,57.145.090.00, 253.240.809.608.9, , 
1157,BALAI BESAR LABORATORIUM KESEHATAN MASYARAKAT SURABAYA,8100126907831000,BPG 135 BBLKM SURABAYA,31/05/2024,443.548.00, 253.240.809.608.9, , 
1158,BALAI BESAR TEKNIK KESEHATAN LINGKUNGAN DAN  PENGENDALIAN PENYAKIT SURABAYA,8100125601271000                                                                                                                                                                                                                                ,BPG 135 BBTKLPP SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1159,BALAI DIKLAT INDUSTRI SURABAYA,8100125793441000,BPG 135 BDI SURABAYA,31/05/2024,1.738.00, 253.240.809.608.9, , 
1160,BALAI PENDIDIKAN DAN PELATIHAN KEAGAMAAN SURABAYA,653214253811000                                                                                                                                                                                                                                 ,BPG 135 BDK KEAGAMAAN SURABAYA,31/05/2024,354.005.135.00, 253.240.809.608.9, , 
1161,BEKANGDAM V/BRW,652813442651000                                                                                                                                                                                                                                 ,BPG 135 BEKANGDAM V/BRAWIJAYA,31/05/2024,34.796.750.00, 253.240.809.608.9, , 
1162,BID TIK POLDA JATIM,8100126511211000                                                                                                                                                                                                                                ,BPG 135 BID TI POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1163,BIDDOKKES POLDA JATIM,8100126440301000                                                                                                                                                                                                                                ,BPG 135 BIDDOKKES POLDA JATIM,31/05/2024,348.823.511.00, 253.240.809.608.9, , 
1164,BIDHUMAS POLDA,8100125367421000                                                                                                                                                                                                                                ,BPG 135 BIDHUMAS POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1165,BIDKEU POLDA JATIM,654606440231000                                                                                                                                                                                                                                 ,BPG 135 BIDKEU POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1166,BIDKEU POLDA JATIM,8100126440231000,BPG 135 BIDKEU POLDA JATIM,31/05/2024,953.404.650.00, 253.240.809.608.9, , 
1167,BIDKUM POLDA,8100125367411000                                                                                                                                                                                                                                ,BPG 135 BIDKUM POLDA JATIM,31/05/2024,60.000.000.00, 253.240.809.608.9, , 
1168,BIDPROPAM POLDA JATIM,652376511141000                                                                                                                                                                                                                                 ,BPG 135 BIDPROPAM POLDA JATIM,31/05/2024,15.338.257.00, 253.240.809.608.9, , 
1169,ROLOG POLDA JATIM,8100126439901000                                                                                                                                                                                                                                ,BPG 135 BIRO SARAS POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1170,ROOPS POLDA JATIM,8100126438941000                                                                                                                                                                                                                                ,BPG 135 BIROOPS POLDA JATIM,31/05/2024,3.599.259.00, 253.240.809.608.9, , 
1171,BALAI KARANTINA IKAN. PENGENDALIAN MUTU DAN KEAMANAN HASIL PERIKANAN KELAS I SURABAYA II,8100126497881000                                                                                                                                                                                                                                ,BPG 135 BKIPMKHP SURABAYA II,31/05/2024,44.603.279.00, 253.240.809.608.9, , 
1172,BADAN NARKOTIKA NASIONAL KABUPATEN GRESIK,8100126896391000                                                                                                                                                                                                                                ,BPG 135 BNN KAB GRESIK,31/05/2024,16.747.222.00,, , 
1173,BADAN NARKOTIKA NASIONAL KABUPATEN PASURUAN,8100124037151000                                                                                                                                                                                                                                ,BPG 135 BNN PASURUAN,31/05/2024,32.837.300.00, 253.240.809.608.9, , 
1174,BALAI PENGAMANAN ALAT DAN FASILITAS KESEHATAN SURABAYA,"8,10E+20",BPG 135 BPAFK SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1175,BALAI PENGAMANAN FASILITAS KESEHATAN SURABAYA,8100125527131000                                                                                                                                                                                                                                ,BPG 135 BPFK SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1176,BALAI PENGELOLA TRANSPORTASI DARAT WILAYAH XI,9891204038511000                                                                                                                                                                                                                                ,BPG 135 BPTD WILAYAH XI PROVINSI JATIM,31/05/2024,274.720.026.00, 253.240.809.608.9, , 
1177,MAKODAM V/BRW,652843442591000                                                                                                                                                                                                                                 ,BPG 135 DENMADAM VBRW,31/05/2024,30.000.000.00, 253.240.809.608.9, , 
1178,PENGADILAN MILITER  III   12 DI SURABAYA,653256633141000                                                                                                                                                                                                                                 ,BPG 135 DILMIL III 12 SBY,31/05/2024,0.00, 253.240.809.608.9, , 
1179,PENGADILAN MILITER  III   12 DI SURABAYA,651556633151000                                                                                                                                                                                                                                 ,BPG 135 DILMIL III 12 SBY,31/05/2024,500.00, 253.240.809.608.9, , 
1180,DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR,0590341000                                                                                                                                                                                                                                      ,BPG 135 DINAS KP  PROV JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1181,DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR,0591901000                                                                                                                                                                                                                                      ,BPG 135 DINAS KP PROV JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1182,DINAS PETERNAKAN PROVINSI JAWA TIMUR,9890780591861000                                                                                                                                                                                                                                ,BPG 135 DINAS PETERNAKAN JATIM (059186),31/05/2024,0.00, 253.240.809.608.9, , 
1183,DINAS PENANAMAN MODAL DAN PELAYANAN TEADU SATU PINTU PROVINSI JAWA TIMUR,9890244841531000                                                                                                                                                                                                                                ,BPG 135 DINAS PMPTSP JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1184,DINAS KESEHATAN PROVINSI JAWA TIMUR,500091000,BPG 135 DINKES JATIM 01,31/05/2024,21.427.500.00, 253.240.809.608.9, , 
1185,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,500401000,BPG 135 DIPERTA DAN KP 050040,31/05/2024,1.167.980.000.00, 253.240.809.608.9, , 
1186,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120590001000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059000,31/05/2024,0.00, 253.240.809.608.9, , 
1187,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120590041000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059004,31/05/2024,0.00, 253.240.809.608.9, , 
1188,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120591061000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059106,31/05/2024,355.118.900.00, 253.240.809.608.9, , 
1189,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120591781000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059178,31/05/2024,0.00, 253.240.809.608.9, , 
1190,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120591791000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059179,31/05/2024,0.00, 253.240.809.608.9, , 
1191,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120591851000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059185,31/05/2024,472.800.000.00, 253.240.809.608.9, , 
1192,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120594441000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059444,31/05/2024,0.00, 253.240.809.608.9, , 
1193,DINAS PERKEBUNAN PROVINSI JAWA TIMUR,0591871000                                                                                                                                                                                                                                      ,BPG 135 DISBUN JATIM (059187),31/05/2024,5.000.000.00, 253.240.809.608.9, , 
1194,DINAS PERKEBUNAN PROVINSI JAWA TIMUR,0591141000                                                                                                                                                                                                                                      ,BPG 135 DISBUN JATIM 05DK,31/05/2024,456.000.00, 253.240.809.608.9, , 
1195,DINAS PERKEBUNAN PROVINSI JAWA TIMUR,0591801000                                                                                                                                                                                                                                      ,BPG 135 DISBUN JATIM 05TP,31/05/2024,55.368.000.00, 253.240.809.608.9, , 
1196,DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR,0590321000                                                                                                                                                                                                                                      ,BPG 135 DISKANLA JATIM 059032,31/05/2024,0.00, 253.240.809.608.9, , 
1197,DINAS KOPERASI. UKM. PERINDUSTRIAN DAN PERDAGANGAN KAB. GRESIK,9890770501491000                                                                                                                                                                                                                                ,BPG 135 DISKUMPERDAG KAB GRESIK,31/05/2024,0.00, 253.240.809.608.9, , 
1198,DISTRIK NAVIGASI SURABAYA,8100124129511000                                                                                                                                                                                                                                ,BPG 135 DISNAVKELAS I SURABAYA,31/05/2024,167.713.975.00, 253.240.809.608.9, , 
1199,DINAS PERINDUSTRIAN. PERDAGANGAN DAN KOPERASI PROVINSI JAWA TIMUR,8100120591121000                                                                                                                                                                                                                                ,BPG 135 DISPERINDAG JATIM 02,31/05/2024,0.00, 253.240.809.608.9, , 
1200,DINAS PERINDUSTRIAN. PERDAGANGAN DAN KOPERASI PROVINSI JAWA TIMUR,8100120590251000,BPG 135 DISPERINDAG JATIM 03,31/05/2024,0.00, 253.240.809.608.9, , 
1201,DITINTELKAM POLDA JATIM,8100126439161000                                                                                                                                                                                                                                ,BPG 135 DIT INTELKAM POLDA JATIM,31/05/2024,449.000.000.00, 253.240.809.608.9, , 
1202,DITBINMAS POLDA JATIM,8100126766301000                                                                                                                                                                                                                                ,BPG 135 DITBINMAS POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1203,DITLANTAS POLDA JATIM,8100126439411000                                                                                                                                                                                                                                ,BPG 135 DITLANTAS POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1204,DITPAMOBVIT POLDA JAWA TIMUR,8100126796001000                                                                                                                                                                                                                                ,BPG 135 DITPAMOBVIT POLDA JATIM,31/05/2024,239.134.500.00, 253.240.809.608.9, , 
1205,DITPOLAIRUD POLDA JATIM,652376440191000                                                                                                                                                                                                                                 ,BPG 135 DITPOLAIR POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1206,DITRESKRIMSUS POLDA JATIM,8100126786471000                                                                                                                                                                                                                                ,BPG 135 DITRESKRIMSUS POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1207,DITRESKRIMUM POLDA JATIM,8100126439201000                                                                                                                                                                                                                                ,BPG 135 DITRESKRIMUM POLDA JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1208,DITSAMAPTA POLDA JATIM,8100126439371000                                                                                                                                                                                                                                ,BPG 135 DITSHABARA POLDA JATIM,31/05/2024,100.025.000.00, 253.240.809.608.9, , 
1209,DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR,8100120500641000                                                                                                                                                                                                                                ,BPG 135 DKP PROV JATIM 01 DK,31/05/2024,0.00, 253.240.809.608.9, , 
1210,DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR,0590301000                                                                                                                                                                                                                                      ,BPG 135 DNS KLT&PRK JATIM 03DK,31/05/2024,0.00, 253.240.809.608.9, , 
1211,DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR,0590311000                                                                                                                                                                                                                                      ,BPG 135 DNS KLTN&PRK JATIM 04DK,31/05/2024,0.00, 253.240.809.608.9, , 
1212,DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR,0590331000                                                                                                                                                                                                                                      ,BPG 135 DNS KLTN&PRKN JATIM 06,31/05/2024,0.00, 253.240.809.608.9, , 
1213,DINAS PETERNAKAN PROVINSI JAWA TIMUR,80047000591811000                                                                                                                                                                                                                               ,BPG 135 DNS PETERNAKAN JATIM 06 TP,31/05/2024,0.00, 253.240.809.608.9, , 
1214,Dinas Pertanian dan Ketahanan Pangan Provinsi Jawa Timur,654236907031000,BPG 135 DPKP PROV JATIM,31/05/2024,350.000.000.00, 253.240.809.608.9, , 
1215,ITWASDA POLDA JATIM,8100126786121000,BPG 135 ITWASDA POLDA JATIM,31/05/2024,43.801.100.00, 253.240.809.608.9, , 
1216,KANTOR IMIGRASI KELAS I TANJUNG PERAK,9898014089531000                                                                                                                                                                                                                                ,BPG 135 KANIM TANJUNG PERAK SBY,31/05/2024,12.891.584.00, 253.240.809.608.9, , 
1217,UNIT PENYELENGGARA PELABUHAN BAWEAN,650694136891000                                                                                                                                                                                                                                 ,BPG 135 KANPEL BAWEAN JATIM,31/05/2024,0.00, 253.240.809.608.9, , 
1218,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,650894087531000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408753,31/05/2024,67.734.218.00, 253.240.809.608.9, , 
1219,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,650924087541000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408754,31/05/2024,0.00, 253.240.809.608.9, , 
1220,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,650854087551000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408755,31/05/2024,159.156.00, 253.240.809.608.9, , 
1221,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,650474087561000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408756,31/05/2024,98.789.519.00, 253.240.809.608.9, , 
1222,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,651064087571000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408757,31/05/2024,0.00, 253.240.809.608.9, , 
1223,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,653984087581000,BPG 135 KANWIL KEMENKUMHAM JATIM 408758,31/05/2024,0.00, 253.240.809.608.9, , 
1224,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,653574087591000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408759,31/05/2024,19.913.000.00, 253.240.809.608.9, , 
1225,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,653204087601000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408760,31/05/2024,0.00, 253.240.809.608.9, , 
1226,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,9890854087511000                                                                                                                                                                                                                                ,BPG 135 KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,31/05/2024,51.742.209.00, 253.240.809.608.9, , 
1227,KANTOR KEMENTERIAN. AGAMA KAB. GRESIK,652594178221000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG GRESIK 417822,31/05/2024,3.376.074.00, 253.240.809.608.9, , 
1228,KANTOR KEMENTERIAN. AGAMA KAB. GRESIK,653004178251000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG GRESIK 417825,31/05/2024,36.567.000.00, 253.240.809.608.9, , 
1229,KANTOR KEMENTERIAN. AGAMA KAB. GRESIK,652734178261000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG GRESIK 417826,31/05/2024,33.017.500.00, 253.240.809.608.9, , 
1230,KANTOR KEMENTERIAN. AGAMA KAB. GRESIK,653594178301000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG GRESIK 417830,31/05/2024,2.832.660.00, 253.240.809.608.9, , 
1231,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,652594178161000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417816,31/05/2024,3.436.100.00, 253.240.809.608.9, , 
1232,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,653004178171000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417817,31/05/2024,60.000.000.00, 253.240.809.608.9, , 
1233,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,652734178181000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417818,31/05/2024,2.535.470.00, 253.240.809.608.9, , 
1234,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,653614178191000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417819,31/05/2024,0.00, 253.240.809.608.9, , 
1235,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,651814178201000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417820,31/05/2024,0.00, 253.240.809.608.9, , 
1236,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,653624178211000,BPG 135 KEMENAG SBY 417821,31/05/2024,0.00, 253.240.809.608.9, , 
1237,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,651884178231000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417823,31/05/2024,0.00, 253.240.809.608.9, , 
1238,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,653584178241000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417824,31/05/2024,10.500.000.00, 253.240.809.608.9, , 
1239,KODIM 0830 REM  084 /SURABAYA UTARA,652816850541000                                                                                                                                                                                                                                 ,BPG 135 KODIM 0830/SURABAYA UTARA,31/05/2024,0.00, 253.240.809.608.9, , 
1240,KODIM 0831 REM  084 /SURABAYA TIMUR,652816850551000                                                                                                                                                                                                                                 ,BPG 135 KODIM 0831/SURABAYA TIMUR,31/05/2024,0.00, 253.240.809.608.9, , 
1241,KODIM 0832 / SURABAYA SELATAN,652816850571000                                                                                                                                                                                                                                 ,BPG 135 KODIM 0832/SURABAYA SELATAN,31/05/2024,0.00, 253.240.809.608.9, , 
1242,KOGARTAP III/SBY,8100126843351000                                                                                                                                                                                                                                ,BPG 135 KOGARTAP III/SBY,31/05/2024,0.00, 253.240.809.608.9, , 
1243,KOREM 084/W DAM V/BRW,652813442811000                                                                                                                                                                                                                                 ,BPG 135 KOREM 084/BJ,31/05/2024,99.600.000.00, 253.240.809.608.9, , 
1244,KANTOR KESYAHBANDARAN DAN OTORITAS PELABUHAN GRESIK,9890274129051000                                                                                                                                                                                                                                ,BPG 135 KSOP GRESIK,31/05/2024,23.308.000.00, 253.240.809.608.9, , 
1245,KANTOR KESYAHBANDARAN UTAMA TANJUNG PERAK,9890274134281000                                                                                                                                                                                                                                ,BPG 135 KSOP UTAMA TG PERAK SBY,31/05/2024,11.755.239.00, 253.240.809.608.9, , 
1246,LABFOR CAB SURABAYA,8100126440511000                                                                                                                                                                                                                                ,BPG 135 LABFOR CAB SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1247,LANUD MULYONO,651663448401000                                                                                                                                                                                                                                 ,BPG 135 LANUD SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1248,MADRASAH ALIYAH NEGERI 1 GRESIK KAB. GRESIK,652734258401000                                                                                                                                                                                                                                 ,BPG 135 MAN 1 GRESIK,31/05/2024,32.977.500.00, 253.240.809.608.9, , 
1249,MADRASAH ALIYAH NEGERI 2 GRESIK KAB. GRESIK,8100545989861000                                                                                                                                                                                                                                ,BPG 135 MAN 2 GRESIK,31/05/2024,42.571.654.00, 253.240.809.608.9, , 
1250,MADRASAH ALIYAH NEGERI SURABAYA KOTA SURABAYA,8100124238431000                                                                                                                                                                                                                                ,BPG 135 MAN SURABAYA,31/05/2024,35.981.968.00, 253.240.809.608.9, , 
1251,MADRASAH TSANAWIYAH NEGERI SURABAYA I KOTA SURABAYA,652734257151000                                                                                                                                                                                                                                 ,BPG 135 MTS N 1 SBY,31/05/2024,17.688.442.00, 253.240.809.608.9, , 
1252,MADRASAH TSANAWIYAH NEGERI 4 KOTA SURABAYA,8100126055081000                                                                                                                                                                                                                                ,BPG 135 MTS NEGERI 4 KOTA SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1253,MADRASAH TSANAWIYAH NEGERI 3 SURABAYA KOTA SURABAYA,652735736031000                                                                                                                                                                                                                                 ,BPG 135 MTSN 3 KOTA SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1254,MADRASAH TSANAWIYAH NEGERI GRESIK KAB. GRESIK,8100544257211000                                                                                                                                                                                                                                ,BPG 135 MTSN GRESIK,31/05/2024,33.700.000.00, 253.240.809.608.9, , 
1255,MADRASAH TSANAWIYAH NEGERI SURABAYA II KOTA SURABAYA,8100124257771000                                                                                                                                                                                                                                ,BPG 135 MTSN II SURABAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1256,PENGADILAN AGAMA BAWEAN,653254012871000                                                                                                                                                                                                                                 ,BPG 135 PA BAWEAN 01,31/05/2024,0.00, 253.240.809.608.9, , 
1257,PALDAM V/BRW,652813442661000                                                                                                                                                                                                                                 ,BPG 135 PALDAM V/BRAWIJAYA,31/05/2024,0.00, 253.240.809.608.9, , 
1258,PENGADILAN AGAMA BAWEAN,651544012881000                                                                                                                                                                                                                                 ,BPG 135 PENGADILAN AGAMA BAWEAN 04,31/05/2024,0.00, 253.240.809.608.9, , 
